Proposal,Link to ideascale,Overall score,Unique Yes,Unique No,Votes casted,YES,NO,Result,Meets approval threshold,REQUESTED $,STATUS,FUND DEPLETION,Reason for not funded status
Testnet Cardanoscan Explorer,http://app.ideascale.com/t/UM5UZBivb,5.00,4863,168,4946,"₳885,478,111","₳27,844,494","₳857,633,617",YES,"$7,500",FUNDED,"$592,500",
Cardano Rust SDK update for Alonzo,http://app.ideascale.com/t/UM5UZBitW,4.54,2153,102,2255,"₳554,450,995","₳21,710,291","₳532,740,704",YES,"$50,000",FUNDED,"$542,500",
C# SDK for Blockfrost API,http://app.ideascale.com/t/UM5UZBiyB,4.76,2392,132,2524,"₳563,268,896","₳53,313,915","₳509,954,981",YES,"$9,000",FUNDED,"$533,500",
Elixir SDK,http://app.ideascale.com/t/UM5UZBiOH,4.77,2528,187,2715,"₳532,901,760","₳35,289,706","₳497,612,054",YES,"$12,000",FUNDED,"$521,500",
Cardano JS API,http://app.ideascale.com/t/UM5UZBiPS,4.67,2592,127,2719,"₳441,200,080","₳24,988,602","₳416,211,478",YES,"$15,000",FUNDED,"$506,500",
Cardano Wallet Flutter SDK,http://app.ideascale.com/t/UM5UZBivs,4.63,1630,121,1751,"₳330,181,427","₳8,395,302","₳321,786,125",YES,"$10,000",FUNDED,"$496,500",
Metadata oracle endpoint in Yoroi,http://app.ideascale.com/t/UM5UZBipP,4.42,1209,290,1347,"₳339,559,436","₳28,354,447","₳311,204,989",YES,"$1,200",FUNDED,"$495,300",
Websocket link for Blockfrost API,http://app.ideascale.com/t/UM5UZBix4,4.58,1158,386,1311,"₳340,716,964","₳37,895,165","₳302,821,799",YES,"$18,000",FUNDED,"$477,300",
NFT Key,http://app.ideascale.com/t/UM5UZBilz,4.61,2001,225,2240,"₳355,828,513","₳61,857,506","₳293,971,007",YES,"$50,000",FUNDED,"$427,300",
Cardano IPFS chronicles,http://app.ideascale.com/t/UM5UZBiyY,4.21,751,183,934,"₳256,597,716","₳18,215,279","₳238,382,437",YES,"$10,080",FUNDED,"$417,220",
Glow Formal verification,http://app.ideascale.com/t/UM5UZBix7,4.44,1038,170,1208,"₳266,508,763","₳35,473,292","₳231,035,471",YES,"$60,000",FUNDED,"$357,220",
Free Commerce payment gateway,http://app.ideascale.com/t/UM5UZBiQQ,4.00,1179,144,1323,"₳213,787,977","₳21,651,005","₳192,136,972",YES,"$52,500",FUNDED,"$304,720",
Localize Yoroi for Slovak market,http://app.ideascale.com/t/UM5UZBipV,4.05,634,273,875,"₳215,767,604","₳27,462,352","₳188,305,252",YES,"$2,500",FUNDED,"$302,220",
End-to-End No-code Cardano Apps,http://app.ideascale.com/t/UM5UZBix3,4.26,1024,203,1227,"₳205,742,056","₳38,877,397","₳166,864,659",YES,"$25,400",FUNDED,"$276,820",
Localize Yoroi for Czech market,http://app.ideascale.com/t/UM5UZBipW,3.25,466,192,739,"₳186,608,300","₳24,363,925","₳162,244,375",YES,"$2,500",FUNDED,"$274,320",
Arnot - iOS SDK,http://app.ideascale.com/t/UM5UZBiN7,4.14,762,144,906,"₳166,040,203","₳15,872,685","₳150,167,518",YES,"$12,980",FUNDED,"$261,340",
NFT Guaranteed Storage,http://app.ideascale.com/t/UM5UZBiPr,3.53,535,438,760,"₳155,077,281","₳16,527,310","₳138,549,971",YES,"$14,550",FUNDED,"$246,790",
Quality-Assurance-DAO,http://app.ideascale.com/t/UM5UZBigN,4.08,695,190,927,"₳170,371,928","₳43,720,694","₳126,651,234",YES,$5,FUNDED,"$246,785",
NFT-DAO EZ-Pay API wallet connector,http://app.ideascale.com/t/UM5UZBinj,4.33,907,252,1097,"₳220,554,738","₳97,939,786","₳122,614,952",YES,"$69,945",FUNDED,"$176,840",
Artificial Intelligence/ML API,http://app.ideascale.com/t/UM5UZBidT,3.92,667,273,940,"₳129,107,628","₳33,128,042","₳95,979,586",YES,"$80,000",FUNDED,"$96,840",
