Proposal,Funding (USD),Total Tokens,Project Tokens,Participant Tokens,Auditor Tokens,Cliff (Days),Duration (Months),Milestone Tokens (90%),Tail Tokens (10%),Month 0 Total Vested,Month 0 Vested %,Month 1 Total Vested,Month 1 Vested %,Month 2 Total Vested,Month 2 Vested %,Month 3 Total Vested,Month 3 Vested %,Month 4 Total Vested,Month 4 Vested %,Month 5 Total Vested,Month 5 Vested %,Month 6 Total Vested,Month 6 Vested %,Month 7 Total Vested,Month 7 Vested %,Month 8 Total Vested,Month 8 Vested %,Month 9 Total Vested,Month 9 Vested %,Month 10 Total Vested,Month 10 Vested %,Month 11 Total Vested,Month 11 Vested %,Month 12 Total Vested,Month 12 Vested %
Testnet Cardanoscan Explorer,"$7,500.00","7,500.00","3,750.00","2,250.00","1,500.00",30,12,"6,750.00",750.00,0.00,0.0%,843.75,11.2%,"2,531.25",33.8%,"3,375.00",45.0%,"4,218.75",56.2%,"5,062.50",67.5%,"5,906.25",78.8%,"6,875.00",91.7%,"7,000.00",93.3%,"7,125.00",95.0%,"7,250.00",96.7%,"7,375.00",98.3%,"7,500.00",100.0%
Cardano Rust SDK update for Alonzo,"$50,000.00","50,000.00","25,000.00","15,000.00","10,000.00",30,12,"45,000.00","5,000.00",0.00,0.0%,"5,625.00",11.2%,"16,875.00",33.8%,"22,500.00",45.0%,"28,125.00",56.2%,"33,750.00",67.5%,"39,375.00",78.8%,"45,833.33",91.7%,"46,666.67",93.3%,"47,500.00",95.0%,"48,333.33",96.7%,"49,166.67",98.3%,"50,000.00",100.0%
C# SDK for Blockfrost API,"$9,000.00","9,000.00","4,500.00","2,700.00","1,800.00",30,12,"8,100.00",900.00,0.00,0.0%,"1,012.50",11.2%,"3,037.50",33.8%,"4,050.00",45.0%,"5,062.50",56.2%,"6,075.00",67.5%,"7,087.50",78.8%,"8,250.00",91.7%,"8,400.00",93.3%,"8,550.00",95.0%,"8,700.00",96.7%,"8,850.00",98.3%,"9,000.00",100.0%
Elixir SDK,"$12,000.00","12,000.00","6,000.00","3,600.00","2,400.00",30,12,"10,800.00","1,200.00",0.00,0.0%,"1,350.00",11.2%,"4,050.00",33.8%,"5,400.00",45.0%,"6,750.00",56.2%,"8,100.00",67.5%,"9,450.00",78.8%,"11,000.00",91.7%,"11,200.00",93.3%,"11,400.00",95.0%,"11,600.00",96.7%,"11,800.00",98.3%,"12,000.00",100.0%
Cardano JS API,"$15,000.00","15,000.00","7,500.00","4,500.00","3,000.00",30,12,"13,500.00","1,500.00",0.00,0.0%,"1,687.50",11.2%,"5,062.50",33.8%,"6,750.00",45.0%,"8,437.50",56.2%,"10,125.00",67.5%,"11,812.50",78.8%,"13,750.00",91.7%,"14,000.00",93.3%,"14,250.00",95.0%,"14,500.00",96.7%,"14,750.00",98.3%,"15,000.00",100.0%
Cardano Wallet Flutter SDK,"$10,000.00","10,000.00","5,000.00","3,000.00","2,000.00",30,12,"9,000.00","1,000.00",0.00,0.0%,"1,125.00",11.2%,"3,375.00",33.8%,"4,500.00",45.0%,"5,625.00",56.2%,"6,750.00",67.5%,"7,875.00",78.8%,"9,166.67",91.7%,"9,333.33",93.3%,"9,500.00",95.0%,"9,666.67",96.7%,"9,833.33",98.3%,"10,000.00",100.0%
Metadata oracle endpoint in Yoroi,"$1,200.00","1,200.00",600.00,360.00,240.00,30,12,"1,080.00",120.00,0.00,0.0%,135.00,11.2%,405.00,33.8%,540.00,45.0%,675.00,56.2%,810.00,67.5%,945.00,78.8%,"1,100.00",91.7%,"1,120.00",93.3%,"1,140.00",95.0%,"1,160.00",96.7%,"1,180.00",98.3%,"1,200.00",100.0%
Websocket link for Blockfrost API,"$18,000.00","18,000.00","9,000.00","5,400.00","3,600.00",30,12,"16,200.00","1,800.00",0.00,0.0%,"2,025.00",11.2%,"6,075.00",33.8%,"8,100.00",45.0%,"10,125.00",56.2%,"12,150.00",67.5%,"14,175.00",78.8%,"16,500.00",91.7%,"16,800.00",93.3%,"17,100.00",95.0%,"17,400.00",96.7%,"17,700.00",98.3%,"18,000.00",100.0%
NFT Key,"$50,000.00","50,000.00","25,000.00","15,000.00","10,000.00",30,12,"45,000.00","5,000.00",0.00,0.0%,"5,625.00",11.2%,"16,875.00",33.8%,"22,500.00",45.0%,"28,125.00",56.2%,"33,750.00",67.5%,"39,375.00",78.8%,"45,833.33",91.7%,"46,666.67",93.3%,"47,500.00",95.0%,"48,333.33",96.7%,"49,166.67",98.3%,"50,000.00",100.0%
Cardano IPFS chronicles,"$10,080.00","10,080.00","5,040.00","3,024.00","2,016.00",30,12,"9,072.00","1,008.00",0.00,0.0%,"1,134.00",11.2%,"3,402.00",33.8%,"4,536.00",45.0%,"5,670.00",56.2%,"6,804.00",67.5%,"7,938.00",78.8%,"9,240.00",91.7%,"9,408.00",93.3%,"9,576.00",95.0%,"9,744.00",96.7%,"9,912.00",98.3%,"10,080.00",100.0%
Glow Formal verification,"$60,000.00","60,000.00","30,000.00","18,000.00","12,000.00",30,12,"54,000.00","6,000.00",0.00,0.0%,"6,750.00",11.2%,"20,250.00",33.8%,"27,000.00",45.0%,"33,750.00",56.2%,"40,500.00",67.5%,"47,250.00",78.8%,"55,000.00",91.7%,"56,000.00",93.3%,"57,000.00",95.0%,"58,000.00",96.7%,"59,000.00",98.3%,"60,000.00",100.0%
Free Commerce payment gateway,"$52,500.00","52,500.00","26,250.00","15,750.00","10,500.00",30,12,"47,250.00","5,250.00",0.00,0.0%,"5,906.25",11.2%,"17,718.75",33.8%,"23,625.00",45.0%,"29,531.25",56.2%,"35,437.50",67.5%,"41,343.75",78.8%,"48,125.00",91.7%,"49,000.00",93.3%,"49,875.00",95.0%,"50,750.00",96.7%,"51,625.00",98.3%,"52,500.00",100.0%
Localize Yoroi for Slovak market,"$2,500.00","2,500.00","1,250.00",750.00,500.00,30,12,"2,250.00",250.00,0.00,0.0%,281.25,11.2%,843.75,33.8%,"1,125.00",45.0%,"1,406.25",56.2%,"1,687.50",67.5%,"1,968.75",78.8%,"2,291.67",91.7%,"2,333.33",93.3%,"2,375.00",95.0%,"2,416.67",96.7%,"2,458.33",98.3%,"2,500.00",100.0%
End-to-End No-code Cardano Apps,"$25,400.00","25,400.00","12,700.00","7,620.00","5,080.00",30,12,"22,860.00","2,540.00",0.00,0.0%,"2,857.50",11.2%,"8,572.50",33.8%,"11,430.00",45.0%,"14,287.50",56.2%,"17,145.00",67.5%,"20,002.50",78.8%,"23,283.33",91.7%,"23,706.67",93.3%,"24,130.00",95.0%,"24,553.33",96.7%,"24,976.67",98.3%,"25,400.00",100.0%
Localize Yoroi for Czech market,"$2,500.00","2,500.00","1,250.00",750.00,500.00,30,12,"2,250.00",250.00,0.00,0.0%,281.25,11.2%,843.75,33.8%,"1,125.00",45.0%,"1,406.25",56.2%,"1,687.50",67.5%,"1,968.75",78.8%,"2,291.67",91.7%,"2,333.33",93.3%,"2,375.00",95.0%,"2,416.67",96.7%,"2,458.33",98.3%,"2,500.00",100.0%
Arnot - iOS SDK,"$12,980.00","12,980.00","6,490.00","3,894.00","2,596.00",30,12,"11,682.00","1,298.00",0.00,0.0%,"1,460.25",11.2%,"4,380.75",33.8%,"5,841.00",45.0%,"7,301.25",56.2%,"8,761.50",67.5%,"10,221.75",78.8%,"11,898.33",91.7%,"12,114.67",93.3%,"12,331.00",95.0%,"12,547.33",96.7%,"12,763.67",98.3%,"12,980.00",100.0%
NFT Guaranteed Storage,"$14,550.00","14,550.00","7,275.00","4,365.00","2,910.00",30,12,"13,095.00","1,455.00",0.00,0.0%,"1,636.88",11.2%,"4,910.62",33.8%,"6,547.50",45.0%,"8,184.38",56.2%,"9,821.25",67.5%,"11,458.12",78.8%,"13,337.50",91.7%,"13,580.00",93.3%,"13,822.50",95.0%,"14,065.00",96.7%,"14,307.50",98.3%,"14,550.00",100.0%
Quality-Assurance-DAO,$5.00,5.00,2.50,1.50,1.00,30,12,4.50,0.50,0.00,0.0%,0.56,11.2%,1.69,33.8%,2.25,45.0%,2.81,56.2%,3.38,67.5%,3.94,78.8%,4.58,91.7%,4.67,93.3%,4.75,95.0%,4.83,96.7%,4.92,98.3%,5.00,100.0%
NFT-DAO EZ-Pay API wallet connector,"$69,945.00","69,945.00","34,972.50","20,983.50","13,989.00",30,12,"62,950.50","6,994.50",0.00,0.0%,"7,868.81",11.2%,"23,606.44",33.8%,"31,475.25",45.0%,"39,344.06",56.2%,"47,212.88",67.5%,"55,081.69",78.8%,"64,116.25",91.7%,"65,282.00",93.3%,"66,447.75",95.0%,"67,613.50",96.7%,"68,779.25",98.3%,"69,945.00",100.0%
Artificial Intelligence/ML API,"$80,000.00","80,000.00","40,000.00","24,000.00","16,000.00",30,12,"72,000.00","8,000.00",0.00,0.0%,"9,000.00",11.2%,"27,000.00",33.8%,"36,000.00",45.0%,"45,000.00",56.2%,"54,000.00",67.5%,"63,000.00",78.8%,"73,333.33",91.7%,"74,666.67",93.3%,"76,000.00",95.0%,"77,333.33",96.7%,"78,666.67",98.3%,"80,000.00",100.0%
Step-by-Step Guide: Off-Chain Code,"$5,000.00","5,000.00","2,500.00","1,500.00","1,000.00",30,12,"4,500.00",500.00,0.00,0.0%,562.50,11.2%,"1,687.50",33.8%,"2,250.00",45.0%,"2,812.50",56.2%,"3,375.00",67.5%,"3,937.50",78.8%,"4,583.33",91.7%,"4,666.67",93.3%,"4,750.00",95.0%,"4,833.33",96.7%,"4,916.67",98.3%,"5,000.00",100.0%
NFT-DAO EZ-On Interop NFTs,"$8,200.00","8,200.00","4,100.00","2,460.00","1,640.00",30,12,"7,380.00",820.00,0.00,0.0%,922.50,11.2%,"2,767.50",33.8%,"3,690.00",45.0%,"4,612.50",56.2%,"5,535.00",67.5%,"6,457.50",78.8%,"7,516.67",91.7%,"7,653.33",93.3%,"7,790.00",95.0%,"7,926.67",96.7%,"8,063.33",98.3%,"8,200.00",100.0%
NFT-DAO EZ-Name,"$59,842.00","59,842.00","29,921.00","17,952.60","11,968.40",30,12,"53,857.80","5,984.20",0.00,0.0%,"6,732.23",11.2%,"20,196.67",33.8%,"26,928.90",45.0%,"33,661.12",56.2%,"40,393.35",67.5%,"47,125.57",78.8%,"54,855.17",91.7%,"55,852.53",93.3%,"56,849.90",95.0%,"57,847.27",96.7%,"58,844.63",98.3%,"59,842.00",100.0%
Tokenizing GitHub Pull request,"$12,000.00","12,000.00","6,000.00","3,600.00","2,400.00",30,12,"10,800.00","1,200.00",0.00,0.0%,"1,350.00",11.2%,"4,050.00",33.8%,"5,400.00",45.0%,"6,750.00",56.2%,"8,100.00",67.5%,"9,450.00",78.8%,"11,000.00",91.7%,"11,200.00",93.3%,"11,400.00",95.0%,"11,600.00",96.7%,"11,800.00",98.3%,"12,000.00",100.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYBRID VESTING SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Projects,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Funding (USD),"$588,202.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Tokens,"588,202.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milestone Tokens (90%),"529,381.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tail Tokens (10%),"58,820.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliff Period,30 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Duration,12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
