Proposal,Requested Funding (USD),Total Tokens,Project Tokens (50%),Participant Tokens (30%),Auditor Tokens (20%),M1 Project Release,M1 Participant Release,M1 Auditor Release,M2 Project Release,M2 Participant Release,M2 Auditor Release,M3 Project Release,M3 Participant Release,M3 Auditor Release,M4 Project Release,M4 Participant Release,M4 Auditor Release
Testnet Cardanoscan Explorer,"$7,500.00","7,500.00","3,750.00","2,250.00","1,500.00",937.50,562.50,375.00,937.50,562.50,375.00,937.50,562.50,375.00,937.50,562.50,375.00
Cardano Rust SDK update for Alonzo,"$50,000.00","50,000.00","25,000.00","15,000.00","10,000.00","6,250.00","3,750.00","2,500.00","6,250.00","3,750.00","2,500.00","6,250.00","3,750.00","2,500.00","6,250.00","3,750.00","2,500.00"
C# SDK for Blockfrost API,"$9,000.00","9,000.00","4,500.00","2,700.00","1,800.00","1,125.00",675.00,450.00,"1,125.00",675.00,450.00,"1,125.00",675.00,450.00,"1,125.00",675.00,450.00
Elixir SDK,"$12,000.00","12,000.00","6,000.00","3,600.00","2,400.00","1,500.00",900.00,600.00,"1,500.00",900.00,600.00,"1,500.00",900.00,600.00,"1,500.00",900.00,600.00
Cardano JS API,"$15,000.00","15,000.00","7,500.00","4,500.00","3,000.00","1,875.00","1,125.00",750.00,"1,875.00","1,125.00",750.00,"1,875.00","1,125.00",750.00,"1,875.00","1,125.00",750.00
Cardano Wallet Flutter SDK,"$10,000.00","10,000.00","5,000.00","3,000.00","2,000.00","1,250.00",750.00,500.00,"1,250.00",750.00,500.00,"1,250.00",750.00,500.00,"1,250.00",750.00,500.00
Metadata oracle endpoint in Yoroi,"$1,200.00","1,200.00",600.00,360.00,240.00,150.00,90.00,60.00,150.00,90.00,60.00,150.00,90.00,60.00,150.00,90.00,60.00
Websocket link for Blockfrost API,"$18,000.00","18,000.00","9,000.00","5,400.00","3,600.00","2,250.00","1,350.00",900.00,"2,250.00","1,350.00",900.00,"2,250.00","1,350.00",900.00,"2,250.00","1,350.00",900.00
NFT Key,"$50,000.00","50,000.00","25,000.00","15,000.00","10,000.00","6,250.00","3,750.00","2,500.00","6,250.00","3,750.00","2,500.00","6,250.00","3,750.00","2,500.00","6,250.00","3,750.00","2,500.00"
Cardano IPFS chronicles,"$10,080.00","10,080.00","5,040.00","3,024.00","2,016.00","1,260.00",756.00,504.00,"1,260.00",756.00,504.00,"1,260.00",756.00,504.00,"1,260.00",756.00,504.00
Glow Formal verification,"$60,000.00","60,000.00","30,000.00","18,000.00","12,000.00","7,500.00","4,500.00","3,000.00","7,500.00","4,500.00","3,000.00","7,500.00","4,500.00","3,000.00","7,500.00","4,500.00","3,000.00"
Free Commerce payment gateway,"$52,500.00","52,500.00","26,250.00","15,750.00","10,500.00","6,562.50","3,937.50","2,625.00","6,562.50","3,937.50","2,625.00","6,562.50","3,937.50","2,625.00","6,562.50","3,937.50","2,625.00"
Localize Yoroi for Slovak market,"$2,500.00","2,500.00","1,250.00",750.00,500.00,312.50,187.50,125.00,312.50,187.50,125.00,312.50,187.50,125.00,312.50,187.50,125.00
End-to-End No-code Cardano Apps,"$25,400.00","25,400.00","12,700.00","7,620.00","5,080.00","3,175.00","1,905.00","1,270.00","3,175.00","1,905.00","1,270.00","3,175.00","1,905.00","1,270.00","3,175.00","1,905.00","1,270.00"
Localize Yoroi for Czech market,"$2,500.00","2,500.00","1,250.00",750.00,500.00,312.50,187.50,125.00,312.50,187.50,125.00,312.50,187.50,125.00,312.50,187.50,125.00
Arnot - iOS SDK,"$12,980.00","12,980.00","6,490.00","3,894.00","2,596.00","1,622.50",973.50,649.00,"1,622.50",973.50,649.00,"1,622.50",973.50,649.00,"1,622.50",973.50,649.00
NFT Guaranteed Storage,"$14,550.00","14,550.00","7,275.00","4,365.00","2,910.00","1,818.75","1,091.25",727.50,"1,818.75","1,091.25",727.50,"1,818.75","1,091.25",727.50,"1,818.75","1,091.25",727.50
